timestamp,task_description,model_name,model_provider,run_number,status,app_id,output_directory,toml_files,notes
2025-12-11T20:13:40.278444,"Move the box beside the sofa, against the wall",glm-4.6,novita,1,submitted,,,,
2025-12-11T20:14:26.490615,"Move the box beside the sofa, against the wall",glm-4.6,novita,2,submitted,,,,
2025-12-11T20:15:09.661666,"Move the box beside the sofa, against the wall",glm-4.6,novita,3,submitted,,,,
2025-12-11T20:16:35.652163,"Move the box beside the sofa, against the wall",glm-4.6,novita,4,submitted,,,,
2025-12-11T20:17:24.833781,"Move the box beside the sofa, against the wall",glm-4.6,novita,5,submitted,,,,
2025-12-11T20:18:10.895552,"Rotate the box to face the window, then stop",glm-4.6,novita,1,submitted,,,,
2025-12-11T20:18:52.768085,"Rotate the box to face the window, then stop",glm-4.6,novita,2,submitted,,,,
2025-12-11T20:19:30.637957,"Rotate the box to face the window, then stop",glm-4.6,novita,3,submitted,,,,
2025-12-11T20:20:23.354479,"Rotate the box to face the window, then stop",glm-4.6,novita,4,submitted,,,,
2025-12-11T20:21:38.350183,"Rotate the box to face the window, then stop",glm-4.6,novita,5,submitted,,,,
2025-12-11T20:22:45.639748,Put the box on the shelf’s lowest level,glm-4.6,novita,1,submitted,,,,
2025-12-11T20:23:39.101020,Put the box on the shelf’s lowest level,glm-4.6,novita,2,submitted,,,,
2025-12-11T20:24:22.915681,Put the box on the shelf’s lowest level,glm-4.6,novita,3,submitted,,,,
2025-12-11T20:25:39.712381,Put the box on the shelf’s lowest level,glm-4.6,novita,4,submitted,,,,
2025-12-11T20:26:24.730293,Put the box on the shelf’s lowest level,glm-4.6,novita,5,submitted,,,,
2025-12-11T20:28:07.375451,Pull the box out from under the bed,glm-4.6,novita,1,submitted,,,,
2025-12-11T20:29:10.701583,Pull the box out from under the bed,glm-4.6,novita,2,submitted,,,,
2025-12-11T20:29:57.704079,Pull the box out from under the bed,glm-4.6,novita,3,submitted,,,,
2025-12-11T20:30:44.239099,Pull the box out from under the bed,glm-4.6,novita,4,submitted,,,,
2025-12-11T20:31:23.297767,Pull the box out from under the bed,glm-4.6,novita,5,submitted,,,,
2025-12-11T20:32:18.423138,"Push the box into the closet, past the threshold",glm-4.6,novita,1,submitted,,,,
2025-12-11T20:32:57.702285,"Push the box into the closet, past the threshold",glm-4.6,novita,2,submitted,,,,
2025-12-11T20:34:13.771902,"Push the box into the closet, past the threshold",glm-4.6,novita,3,submitted,,,,
2025-12-11T20:35:39.209360,"Push the box into the closet, past the threshold",glm-4.6,novita,4,submitted,,,,
2025-12-11T20:36:30.613391,"Push the box into the closet, past the threshold",glm-4.6,novita,5,submitted,,,,
2025-12-11T20:37:10.359154,Align the box with the hallway arrow on the floor,glm-4.6,novita,1,submitted,,,,
2025-12-11T20:38:11.002245,Align the box with the hallway arrow on the floor,glm-4.6,novita,2,submitted,,,,
2025-12-11T20:39:31.280871,Align the box with the hallway arrow on the floor,glm-4.6,novita,3,submitted,,,,
2025-12-11T20:40:32.692561,Align the box with the hallway arrow on the floor,glm-4.6,novita,4,submitted,,,,
2025-12-11T20:41:13.181166,Align the box with the hallway arrow on the floor,glm-4.6,novita,5,submitted,,,,
